125.0	110.0	170.0	90.0	110.0	120.0	60.0	125.0	85.0
80.0	110.0	95.0	150.0	100.0	100.0	65.0	70.0	130.0
515.0	270.0	105.0	190.0	155.0	155.0	60.0	55.0	105.0
95.0	90.0	80.0	270.0	140.0	85.0	70.0	55.0	105.0
100.0	160.0	130.0	75.0	110.0	130.0	60.0	50.0	165.0
185.0	110.0	60.0	65.0	80.0	190.0	50.0	70.0	90.0
40.0	160.0	180.0	195.0	95.0	85.0	50.0	110.0	230.0
90.0	100.0	135.0	195.0	130.0	145.0	85.0	45.0	275.0
110.0	105.0	95.0	205.0	135.0	130.0	60.0	70.0	90.0
340.0	160.0	160.0	145.0	305.0	100.0	55.0	85.0	215.0
400.0	175.0	180.0	85.0	85.0	125.0	60.0	75.0	285.0
45.0	175.0	205.0	95.0	140.0	70.0	65.0	50.0	465.0
275.0	315.0	120.0	100.0	110.0	75.0	60.0	55.0	105.0
75.0	210.0	285.0	105.0	100.0	145.0	35.0	50.0	105.0
145.0	125.0	75.0	90.0	110.0	130.0	60.0	75.0	100.0
70.0	140.0	130.0	185.0	65.0	105.0	40.0	60.0	225.0
70.0	85.0	105.0	195.0	175.0	140.0	85.0	70.0	100.0
275.0	230.0	200.0	200.0	70.0	135.0	55.0	60.0	180.0
115.0	130.0	170.0	115.0	160.0	50.0	45.0	45.0	165.0
105.0	210.0	125.0	65.0	65.0	165.0	95.0	65.0	90.0
530.0	85.0	125.0	150.0	90.0	175.0	70.0	75.0	85.0
470.0	300.0	130.0	200.0	160.0	85.0	80.0	80.0	370.0
85.0	150.0	165.0	180.0	95.0	125.0	55.0	50.0	175.0
195.0	170.0	130.0	130.0	75.0	55.0	65.0	60.0	150.0
250.0	115.0	110.0	160.0	170.0	115.0	55.0	55.0	250.0
125.0	130.0	140.0	240.0	130.0	105.0	90.0	80.0	170.0
215.0	140.0	140.0	250.0	170.0	155.0	100.0	65.0	125.0
450.0	135.0	100.0	70.0	145.0	85.0	70.0	80.0	125.0
225.0	150.0	100.0	125.0	170.0	155.0	35.0	100.0	200.0
105.0	205.0	185.0	170.0	120.0	175.0	35.0	70.0	215.0
550.0	85.0	130.0	425.0	85.0	140.0	85.0	60.0	155.0
60.0	105.0	200.0	155.0	125.0	215.0	50.0	60.0	85.0
745.0	175.0	150.0	90.0	190.0	135.0	70.0	70.0	125.0
505.0	100.0	60.0	140.0	315.0	155.0	65.0	90.0	115.0
250.0	120.0	60.0	90.0	95.0	130.0	75.0	75.0	120.0
180.0	105.0	145.0	485.0	365.0	145.0	95.0	55.0	235.0
220.0	300.0	210.0	40.0	150.0	55.0	60.0	75.0	110.0
60.0	175.0	265.0	75.0	135.0	55.0	110.0	60.0	270.0
120.0	95.0	110.0	105.0	165.0	65.0	75.0	60.0	115.0
155.0	110.0	325.0	250.0	170.0	130.0	75.0	55.0	265.0
290.0	120.0	135.0	105.0	145.0	130.0	60.0	60.0	70.0
190.0	150.0	245.0	190.0	180.0	120.0	50.0	65.0	170.0
165.0	160.0	115.0	140.0	200.0	90.0	40.0	65.0	200.0
150.0	175.0	150.0	90.0	290.0	115.0	65.0	50.0	120.0
150.0	115.0	105.0	130.0	180.0	105.0	90.0	90.0	120.0
90.0	130.0	170.0	210.0	165.0	120.0	75.0	80.0	375.0
210.0	110.0	145.0	145.0	225.0	95.0	65.0	30.0	135.0
335.0	100.0	115.0	145.0	170.0	80.0	50.0	55.0	130.0
200.0	125.0	175.0	135.0	175.0	115.0	65.0	75.0	280.0
705.0	75.0	150.0	165.0	165.0	140.0	115.0	85.0	115.0
100.0	65.0	120.0	165.0	160.0	90.0	90.0	70.0	125.0
130.0	115.0	165.0	125.0	175.0	135.0	50.0	70.0	365.0
130.0	75.0	150.0	130.0	135.0	95.0	55.0	65.0	85.0
130.0	390.0	80.0	65.0	215.0	110.0	70.0	60.0	100.0
130.0	145.0	140.0	130.0	130.0	150.0	70.0	50.0	75.0
455.0	125.0	135.0	175.0	150.0	110.0	60.0	80.0	100.0
120.0	90.0	120.0	130.0	160.0	150.0	70.0	90.0	140.0
135.0	175.0	185.0	130.0	190.0	150.0	55.0	70.0	385.0
180.0	65.0	155.0	150.0	230.0	150.0	85.0	55.0	115.0
105.0	175.0	255.0	195.0	65.0	130.0	75.0	60.0	110.0
270.0	120.0	140.0	110.0	85.0	150.0	60.0	95.0	135.0
220.0	105.0	180.0	180.0	100.0	105.0	50.0	80.0	105.0
250.0	110.0	130.0	195.0	70.0	130.0	75.0	60.0	185.0
250.0	290.0	110.0	125.0	70.0	135.0	90.0	65.0	120.0
90.0	165.0	130.0	140.0	65.0	90.0	65.0	65.0	110.0
160.0	170.0	125.0	455.0	110.0	105.0	90.0	45.0	105.0
155.0	235.0	125.0	105.0	100.0	140.0	80.0	85.0	95.0
95.0	155.0	105.0	130.0	95.0	90.0	80.0	90.0	120.0

# day1  day2    day3    day4    day5    day6    day7    day8    day9
