1,2,3,4,5,6,7,8,9
65.0,100.0,70.0,70.0,65.0,115.0,90.0,90.0,265.0
55.0,70.0,75.0,70.0,65.0,100.0,120.0,75.0,145.0
430.0,135.0,75.0,50.0,45.0,390.0,80.0,80.0,280.0
40.0,70.0,50.0,55.0,70.0,220.0,65.0,90.0,230.0
95.0,65.0,50.0,85.0,65.0,420.0,75.0,55.0,100.0
80.0,70.0,80.0,65.0,85.0,115.0,115.0,50.0,370.0
80.0,65.0,60.0,60.0,65.0,110.0,95.0,100.0,95.0
90.0,95.0,70.0,55.0,50.0,190.0,90.0,80.0,110.0
70.0,60.0,70.0,70.0,55.0,210.0,120.0,60.0,280.0
65.0,75.0,85.0,65.0,80.0,180.0,95.0,70.0,130.0
95.0,75.0,60.0,35.0,65.0,125.0,85.0,115.0,95.0
60.0,55.0,100.0,95.0,70.0,270.0,110.0,105.0,135.0
55.0,160.0,60.0,65.0,65.0,160.0,50.0,75.0,100.0
60.0,90.0,50.0,55.0,80.0,175.0,70.0,80.0,245.0
70.0,80.0,60.0,95.0,75.0,165.0,115.0,80.0,85.0
55.0,75.0,60.0,70.0,80.0,170.0,100.0,75.0,170.0
95.0,110.0,45.0,50.0,70.0,410.0,100.0,60.0,180.0
60.0,55.0,85.0,100.0,60.0,125.0,75.0,80.0,480.0
80.0,60.0,70.0,85.0,85.0,195.0,95.0,60.0,140.0
100.0,85.0,55.0,50.0,55.0,140.0,95.0,80.0,120.0
70.0,65.0,90.0,80.0,65.0,175.0,85.0,100.0,85.0
90.0,135.0,70.0,85.0,90.0,115.0,70.0,100.0,165.0
35.0,90.0,50.0,100.0,75.0,215.0,100.0,95.0,120.0
65.0,25.0,120.0,110.0,85.0,315.0,45.0,75.0,250.0
60.0,95.0,50.0,65.0,70.0,130.0,80.0,60.0,275.0
75.0,25.0,105.0,50.0,90.0,160.0,40.0,85.0,535.0
85.0,50.0,75.0,90.0,85.0,175.0,55.0,60.0,150.0
70.0,60.0,70.0,85.0,75.0,170.0,65.0,55.0,385.0
45.0,90.0,70.0,60.0,50.0,220.0,45.0,70.0,210.0
75.0,65.0,70.0,95.0,90.0,110.0,60.0,75.0,180.0
30.0,65.0,80.0,40.0,40.0,205.0,65.0,70.0,460.0
35.0,60.0,120.0,90.0,30.0,205.0,45.0,90.0,290.0
110.0,60.0,70.0,60.0,60.0,195.0,80.0,85.0,135.0
65.0,70.0,115.0,60.0,70.0,140.0,70.0,80.0,130.0
85.0,75.0,55.0,55.0,65.0,180.0,75.0,55.0,170.0
80.0,90.0,90.0,115.0,35.0,155.0,115.0,115.0,145.0
45.0,115.0,35.0,100.0,85.0,200.0,105.0,95.0,240.0
105.0,100.0,65.0,30.0,610.0,540.0,25.0,90.0,195.0
65.0,75.0,80.0,80.0,85.0,125.0,60.0,55.0,190.0
55.0,70.0,75.0,105.0,55.0,135.0,50.0,75.0,295.0
80.0,85.0,70.0,60.0,85.0,185.0,45.0,85.0,95.0
